"date.time"	"day"	"horse"	"searchedfor"
2014-03-11 13:30:00	"1"	"Fantasy King"	TRUE
2014-03-11 13:30:00	"1"	"Garde La Victoire"	TRUE
2014-03-11 13:30:00	"1"	"Germany Calling"	TRUE
2014-03-11 13:30:00	"1"	"Gilgamboa"	TRUE
2014-03-11 13:30:00	"1"	"Irving"	TRUE
2014-03-11 13:30:00	"1"	"Josses Hill"	TRUE
2014-03-11 13:30:00	"1"	"Sgt Reckless"	TRUE
2014-03-11 13:30:00	"1"	"Sky Khan"	TRUE
2014-03-11 13:30:00	"1"	"Splash Of Ginge"	TRUE
2014-03-11 13:30:00	"1"	"The Liquidator"	TRUE
2014-03-11 13:30:00	"1"	"Three Kingdoms"	TRUE
2014-03-11 13:30:00	"1"	"Un Ace"	TRUE
2014-03-11 13:30:00	"1"	"Valseur Lido"	TRUE
2014-03-11 13:30:00	"1"	"Vaniteux"	TRUE
2014-03-11 13:30:00	"1"	"Vautour"	TRUE
2014-03-11 13:30:00	"1"	"Western Boy"	TRUE
2014-03-11 13:30:00	"1"	"Wicklow Brave"	TRUE
2014-03-11 13:30:00	"1"	"Wilde Blue Yonder"	TRUE
2014-03-11 14:05:00	"1"	"Brick Red"	TRUE
2014-03-11 14:05:00	"1"	"Champagne Fever"	TRUE
2014-03-11 14:05:00	"1"	"Dodging Bullets"	TRUE
2014-03-11 14:05:00	"1"	"Grandouet"	TRUE
2014-03-11 14:05:00	"1"	"Rock On Ruby"	TRUE
2014-03-11 14:05:00	"1"	"Ted Veale"	TRUE
2014-03-11 14:05:00	"1"	"Trifolium"	TRUE
2014-03-11 14:05:00	"1"	"Valdez"	TRUE
2014-03-11 14:05:00	"1"	"Western Warhorse"	TRUE
2014-03-11 14:40:00	"1"	"Cantlow"	FALSE
2014-03-11 14:40:00	"1"	"Vino Griego"	FALSE
2014-03-11 14:40:00	"1"	"Pacha Du Polder"	FALSE
2014-03-11 14:40:00	"1"	"Restless Harry"	FALSE
2014-03-11 14:40:00	"1"	"Golden Chieftain"	FALSE
2014-03-11 14:40:00	"1"	"Hadrian's Approach"	FALSE
2014-03-11 14:40:00	"1"	"Holywell"	FALSE
2014-03-11 14:40:00	"1"	"Vintage Star"	FALSE
2014-03-11 14:40:00	"1"	"Ackertac"	FALSE
2014-03-11 14:40:00	"1"	"Ma Filleule"	FALSE
2014-03-11 14:40:00	"1"	"Green Flag"	FALSE
2014-03-11 14:40:00	"1"	"Renard"	FALSE
2014-03-11 14:40:00	"1"	"The Package"	FALSE
2014-03-11 14:40:00	"1"	"Shakalakaboomboom"	FALSE
2014-03-11 14:40:00	"1"	"Relax"	FALSE
2014-03-11 14:40:00	"1"	"Time For Rupert"	FALSE
2014-03-11 14:40:00	"1"	"Muldoon's Picnic"	FALSE
2014-03-11 14:40:00	"1"	"Alfie Sherrin"	FALSE
2014-03-11 14:40:00	"1"	"Fruity O'Rooney"	FALSE
2014-03-11 14:40:00	"1"	"Wrong Turn"	FALSE
2014-03-11 14:40:00	"1"	"Standing Ovation"	FALSE
2014-03-11 14:40:00	"1"	"King Massini"	FALSE
2014-03-11 14:40:00	"1"	"Tour Des Champs"	FALSE
2014-03-11 14:40:00	"1"	"Solix"	FALSE
2014-03-11 15:20:00	"1"	"Captain Cee Bee"	TRUE
2014-03-11 15:20:00	"1"	"Grumeti"	TRUE
2014-03-11 15:20:00	"1"	"Hurricane Fly"	TRUE
2014-03-11 15:20:00	"1"	"Jezki"	TRUE
2014-03-11 15:20:00	"1"	"Melodic Rendezvous"	TRUE
2014-03-11 15:20:00	"1"	"My Tent Or Yours"	TRUE
2014-03-11 15:20:00	"1"	"Our Conor"	TRUE
2014-03-11 15:20:00	"1"	"Ptit Zig"	TRUE
2014-03-11 15:20:00	"1"	"The New One"	TRUE
2014-03-11 16:00:00	"1"	"Cailin Annamh"	FALSE
2014-03-11 16:00:00	"1"	"Cockney Sparrow"	FALSE
2014-03-11 16:00:00	"1"	"Down Ace"	FALSE
2014-03-11 16:00:00	"1"	"Doyly Carte"	FALSE
2014-03-11 16:00:00	"1"	"Glens Melody"	FALSE
2014-03-11 16:00:00	"1"	"Highland Retreat"	FALSE
2014-03-11 16:00:00	"1"	"Jennies Jewel"	FALSE
2014-03-11 16:00:00	"1"	"L'Unique"	FALSE
2014-03-11 16:00:00	"1"	"Quevega"	FALSE
2014-03-11 16:00:00	"1"	"Sirene D'Ainay"	FALSE
2014-03-11 16:00:00	"1"	"Uddy"	FALSE
2014-03-11 16:00:00	"1"	"Epee Celeste"	FALSE
2014-03-11 16:00:00	"1"	"Hidden Identity"	FALSE
2014-03-11 16:00:00	"1"	"Little King Robin"	FALSE
2014-03-11 16:00:00	"1"	"Pass The Time"	FALSE
2014-03-11 16:00:00	"1"	"Top Totti"	FALSE
2014-03-11 16:40:00	"1"	"According To Trev"	FALSE
2014-03-11 16:40:00	"1"	"Adrenalin Flight"	FALSE
2014-03-11 16:40:00	"1"	"American Spin"	FALSE
2014-03-11 16:40:00	"1"	"Beeves"	FALSE
